date,megawatthours
29-11-2021 18:00,456959
15-02-2020 21:00,421379
30-08-2021 07:00,442091
16-07-2021 20:00,646646
08-07-2020 01:00,620124
01-11-2016 01:00,456146
30-05-2018 18:00,565228
14-01-2020 16:00,461822
23-09-2015 09:00,355445
04-11-2015 08:00,338454
26-11-2016 04:00,393692
23-03-2021 08:00,344413
13-11-2015 08:00,352266
13-06-2020 08:00,361263
24-11-2020 22:00,443097
31-01-2019 06:00,528667
28-10-2017 17:00,406983
23-06-2020 00:00,597005
21-01-2019 19:00,527589
16-02-2021 09:00,468516
16-05-2020 02:00,431511
23-10-2017 15:00,435940
18-12-2015 07:00,409914
07-04-2020 21:00,421194
20-01-2019 12:00,428808
21-05-2017 18:00,426939
12-09-2017 11:00,367391
16-09-2021 09:00,390982
15-11-2021 09:00,369215
27-02-2019 02:00,483999
23-07-2016 19:00,662774
23-03-2018 20:00,428896
11-06-2018 22:00,579425
14-09-2020 21:00,543525
23-04-2016 19:00,399463
20-05-2020 09:00,329888
20-06-2017 16:00,536975
29-01-2018 10:00,378915
14-04-2018 06:00,364216
30-07-2021 08:00,460303
02-10-2019 21:00,603909
21-02-2019 08:00,416336
30-11-2015 20:00,462411
10-08-2016 05:00,523011
30-09-2018 09:00,337931
01-04-2021 02:00,434548
02-08-2020 01:00,581060
12-06-2016 21:00,557134
11-03-2016 22:00,425076
05-12-2019 19:00,444771
04-04-2020 09:00,325117
29-03-2017 09:00,344012
25-09-2018 20:00,546614
09-03-2017 01:00,423762
08-07-2018 10:00,348003
11-11-2016 09:00,343497
13-03-2020 03:00,424500
04-05-2018 19:00,484744
03-10-2019 00:00,583167
01-12-2016 21:00,441881
01-09-2016 13:00,469359
05-04-2021 17:00,409317
20-09-2015 13:00,361600
12-06-2017 06:00,434275
07-09-2018 16:00,535025
26-09-2015 03:00,458329
23-10-2020 10:00,356369
01-11-2016 18:00,429045
13-03-2016 04:00,386615
07-12-2021 05:00,443968
12-11-2019 18:00,504304
14-11-2020 06:00,381189
23-10-2018 06:00,360994
25-06-2019 12:00,427848
02-11-2021 00:00,457190
13-10-2017 15:00,444784
06-03-2016 16:00,394176
06-05-2020 05:00,370677
21-02-2022 06:00,409570
30-11-2015 00:00,451191
27-12-2016 19:00,443921
28-04-2016 04:00,406949
15-02-2021 23:00,539466
31-08-2017 22:00,590479
16-01-2017 03:00,451882
25-04-2019 03:00,428637
07-10-2016 22:00,481388
18-03-2021 05:00,386050
29-12-2018 22:00,435945
15-11-2018 12:00,466435
10-02-2022 21:00,440064
14-08-2015 06:00,426595
31-07-2018 17:00,558327
14-04-2016 16:00,422769
06-11-2016 21:00,368964
12-08-2021 02:00,644195
20-09-2017 16:00,523594
25-10-2015 20:00,392045
01-02-2020 14:00,439264
18-11-2020 02:00,459851
16-10-2019 17:00,440462
12-11-2017 08:00,368874
08-11-2018 00:00,453128
20-09-2019 14:00,447253
01-08-2021 18:00,539988
26-06-2020 18:00,564427
31-08-2020 06:00,419252
03-09-2016 10:00,360130
04-10-2021 10:00,366399
28-05-2019 10:00,364925
18-02-2016 16:00,469221
10-05-2016 09:00,336232
03-07-2020 04:00,525028
18-01-2018 14:00,618790
27-02-2020 07:00,420183
