date,megawatthours
01-07-2015 05:00,162827
01-07-2015 06:00,335153
01-07-2015 07:00,333837
01-07-2015 08:00,398386
01-07-2015 09:00,388954
01-07-2015 10:00,392487
01-07-2015 11:00,404647
01-07-2015 12:00,422227
01-07-2015 13:00,442131
01-07-2015 14:00,464371
01-07-2015 15:00,491512
01-07-2015 16:00,518043
01-07-2015 17:00,540514
01-07-2015 18:00,560701
01-07-2015 19:00,576400
01-07-2015 20:00,587405
01-07-2015 21:00,594477
01-07-2015 22:00,595242
01-07-2015 23:00,586317
02-07-2015 00:00,572656
02-07-2015 01:00,554682
02-07-2015 02:00,543332
02-07-2015 03:00,520871
02-07-2015 04:00,485722
02-07-2015 05:00,453284
02-07-2015 06:00,429199
02-07-2015 07:00,407007
02-07-2015 08:00,395194
02-07-2015 09:00,387654
02-07-2015 10:00,390157
02-07-2015 11:00,401643
02-07-2015 12:00,417369
02-07-2015 13:00,437741
02-07-2015 14:00,459562
02-07-2015 15:00,485186
02-07-2015 16:00,509369
02-07-2015 17:00,529809
02-07-2015 18:00,546611
02-07-2015 19:00,558445
02-07-2015 20:00,565833
02-07-2015 21:00,569351
02-07-2015 22:00,569616
02-07-2015 23:00,561747
03-07-2015 00:00,549867
03-07-2015 01:00,533110
03-07-2015 02:00,522864
03-07-2015 03:00,501272
03-07-2015 04:00,470322
03-07-2015 05:00,440084
03-07-2015 06:00,415203
03-07-2015 07:00,394227
03-07-2015 08:00,383147
03-07-2015 09:00,373941
03-07-2015 10:00,371552
03-07-2015 11:00,373312
03-07-2015 12:00,380160
03-07-2015 13:00,396051
03-07-2015 14:00,418789
03-07-2015 15:00,444329
03-07-2015 16:00,466734
03-07-2015 17:00,487268
03-07-2015 18:00,504422
03-07-2015 19:00,518545
03-07-2015 20:00,528781
03-07-2015 21:00,536381
03-07-2015 22:00,539823
03-07-2015 23:00,534988
04-07-2015 00:00,523996
04-07-2015 01:00,510066
04-07-2015 02:00,500554
04-07-2015 03:00,482726
04-07-2015 04:00,455366
04-07-2015 05:00,428928
04-07-2015 06:00,403685
04-07-2015 07:00,384331
04-07-2015 08:00,373639
04-07-2015 09:00,363002
04-07-2015 10:00,357789
04-07-2015 11:00,355088
04-07-2015 12:00,356956
04-07-2015 13:00,371087
04-07-2015 14:00,396040
04-07-2015 15:00,423956
04-07-2015 16:00,450542
04-07-2015 17:00,472985
04-07-2015 18:00,490561
04-07-2015 19:00,502921
04-07-2015 20:00,512645
04-07-2015 21:00,519700
04-07-2015 22:00,521413
04-07-2015 23:00,515522
05-07-2015 00:00,501977
05-07-2015 01:00,482706
05-07-2015 02:00,469315
05-07-2015 03:00,454492
05-07-2015 04:00,436638
05-07-2015 05:00,414372
05-07-2015 06:00,391943
05-07-2015 07:00,374853
05-07-2015 08:00,366221
05-07-2015 09:00,357581
05-07-2015 10:00,352403
05-07-2015 11:00,348599
05-07-2015 12:00,351157
05-07-2015 13:00,368197
05-07-2015 14:00,393860
05-07-2015 15:00,423719
05-07-2015 16:00,452969
05-07-2015 17:00,480469
05-07-2015 18:00,503990
05-07-2015 19:00,521951
05-07-2015 20:00,535678
05-07-2015 21:00,545454
05-07-2015 22:00,550003
05-07-2015 23:00,547755
06-07-2015 00:00,538399
06-07-2015 01:00,524023
06-07-2015 02:00,515913
06-07-2015 03:00,497970
06-07-2015 04:00,467812
06-07-2015 05:00,438224
06-07-2015 06:00,414590
06-07-2015 07:00,395547
06-07-2015 08:00,386688
06-07-2015 09:00,380838
06-07-2015 10:00,385464
06-07-2015 11:00,398533
06-07-2015 12:00,420832
06-07-2015 13:00,446871
06-07-2015 14:00,474788
06-07-2015 15:00,506007
06-07-2015 16:00,536868
06-07-2015 17:00,563797
06-07-2015 18:00,589744
06-07-2015 19:00,605239
06-07-2015 20:00,615340
06-07-2015 21:00,621261
06-07-2015 22:00,623522
06-07-2015 23:00,615818
07-07-2015 00:00,601361
07-07-2015 01:00,581218
07-07-2015 02:00,568149
07-07-2015 03:00,542142
07-07-2015 04:00,505672
07-07-2015 05:00,470729
07-07-2015 06:00,442811
07-07-2015 07:00,420969
07-07-2015 08:00,409642
07-07-2015 09:00,402985
07-07-2015 10:00,407068
07-07-2015 11:00,421136
07-07-2015 12:00,441560
07-07-2015 13:00,464681
07-07-2015 14:00,491014
07-07-2015 15:00,520354
07-07-2015 16:00,548163
07-07-2015 17:00,569321
07-07-2015 18:00,586642
07-07-2015 19:00,597474
07-07-2015 20:00,603058
07-07-2015 21:00,604647
07-07-2015 22:00,603780
07-07-2015 23:00,595497
08-07-2015 00:00,581339
08-07-2015 01:00,564321
08-07-2015 02:00,553340
08-07-2015 03:00,528957
08-07-2015 04:00,494752
08-07-2015 05:00,462961
08-07-2015 06:00,437583
08-07-2015 07:00,416753
08-07-2015 08:00,405718
08-07-2015 09:00,399035
08-07-2015 10:00,402850
08-07-2015 11:00,416976
08-07-2015 12:00,434829
08-07-2015 13:00,456051
08-07-2015 14:00,478751
08-07-2015 15:00,505965
08-07-2015 16:00,531366
08-07-2015 17:00,552901
08-07-2015 18:00,569979
08-07-2015 19:00,583083
08-07-2015 20:00,589376
08-07-2015 21:00,591145
08-07-2015 22:00,589491
08-07-2015 23:00,583168
09-07-2015 00:00,572032
09-07-2015 01:00,556190
09-07-2015 02:00,546810
09-07-2015 03:00,523743
09-07-2015 04:00,490385
09-07-2015 05:00,459870
09-07-2015 06:00,434165
09-07-2015 07:00,413711
09-07-2015 08:00,402481
09-07-2015 09:00,395743
09-07-2015 10:00,400413
09-07-2015 11:00,415287
09-07-2015 12:00,433812
09-07-2015 13:00,455226
09-07-2015 14:00,479933
09-07-2015 15:00,508105
09-07-2015 16:00,535096
09-07-2015 17:00,557013
09-07-2015 18:00,576290
09-07-2015 19:00,590510
09-07-2015 20:00,600423
09-07-2015 21:00,606757
09-07-2015 22:00,607992
09-07-2015 23:00,600910
10-07-2015 00:00,587071
10-07-2015 01:00,568610
10-07-2015 02:00,555377
10-07-2015 03:00,531088
10-07-2015 04:00,497102
10-07-2015 05:00,464134
10-07-2015 06:00,439444
10-07-2015 07:00,416798
10-07-2015 08:00,404413
10-07-2015 09:00,396409
10-07-2015 10:00,399157
10-07-2015 11:00,410814
10-07-2015 12:00,429427
10-07-2015 13:00,452385
10-07-2015 14:00,480259
10-07-2015 15:00,510769
10-07-2015 16:00,539582
10-07-2015 17:00,562007
10-07-2015 18:00,580803
10-07-2015 19:00,596045
10-07-2015 20:00,605642
10-07-2015 21:00,612238
10-07-2015 22:00,612494
10-07-2015 23:00,603834
11-07-2015 00:00,587174
11-07-2015 01:00,568304
11-07-2015 02:00,553155
11-07-2015 03:00,537202
11-07-2015 04:00,497571
11-07-2015 05:00,465592
11-07-2015 06:00,436874
11-07-2015 07:00,415135
11-07-2015 08:00,398333
11-07-2015 09:00,387369
11-07-2015 10:00,382586
11-07-2015 11:00,382347
11-07-2015 12:00,388981
11-07-2015 13:00,411386
11-07-2015 14:00,441399
11-07-2015 15:00,476195
11-07-2015 16:00,508693
11-07-2015 17:00,535117
11-07-2015 18:00,555206
11-07-2015 19:00,569949
11-07-2015 20:00,580793
11-07-2015 21:00,588357
11-07-2015 22:00,590674
11-07-2015 23:00,585565
12-07-2015 00:00,572182
12-07-2015 01:00,557178
12-07-2015 02:00,545278
12-07-2015 03:00,521572
12-07-2015 04:00,500055
12-07-2015 05:00,462786
12-07-2015 06:00,435470
12-07-2015 07:00,413008
12-07-2015 08:00,395793
12-07-2015 09:00,384439
12-07-2015 10:00,378391
12-07-2015 11:00,375454
12-07-2015 12:00,379065
12-07-2015 13:00,398175
12-07-2015 14:00,429947
12-07-2015 15:00,464001
12-07-2015 16:00,496491
12-07-2015 17:00,526438
12-07-2015 18:00,550584
12-07-2015 19:00,569472
12-07-2015 20:00,583736
12-07-2015 21:00,595098
12-07-2015 22:00,599597
12-07-2015 23:00,600921
13-07-2015 00:00,593789
13-07-2015 01:00,575562
13-07-2015 02:00,565194
13-07-2015 03:00,543470
13-07-2015 04:00,508331
13-07-2015 05:00,473118
13-07-2015 06:00,446560
13-07-2015 07:00,425516
13-07-2015 08:00,413128
13-07-2015 09:00,405637
13-07-2015 10:00,409063
13-07-2015 11:00,423379
13-07-2015 12:00,444510
13-07-2015 13:00,471651
13-07-2015 14:00,502360
13-07-2015 15:00,536565
13-07-2015 16:00,570434
13-07-2015 17:00,599253
13-07-2015 18:00,623216
13-07-2015 19:00,640279
13-07-2015 20:00,652235
13-07-2015 21:00,660073
13-07-2015 22:00,663547
13-07-2015 23:00,658633
14-07-2015 00:00,645083
14-07-2015 01:00,623910
14-07-2015 02:00,607247
14-07-2015 03:00,576323
14-07-2015 04:00,536738
14-07-2015 05:00,497450
14-07-2015 06:00,467171
14-07-2015 07:00,442845
14-07-2015 08:00,430187
14-07-2015 09:00,421454
14-07-2015 10:00,425559
14-07-2015 11:00,439520
14-07-2015 12:00,458424
14-07-2015 13:00,483838
14-07-2015 14:00,511820
14-07-2015 15:00,543232
14-07-2015 16:00,569018
14-07-2015 17:00,593709
14-07-2015 18:00,613620
14-07-2015 19:00,630055
14-07-2015 20:00,641020
14-07-2015 21:00,647899
14-07-2015 22:00,649879
14-07-2015 23:00,642669
15-07-2015 00:00,630109
15-07-2015 01:00,613066
15-07-2015 02:00,595320
15-07-2015 03:00,567761
15-07-2015 04:00,529489
15-07-2015 05:00,492669
15-07-2015 06:00,462494
